water,carbohydrates,zinc,vitamin D,vitamin B12,vitamin C,calcium,iron,density,fatty acid,vitamin K,vitamin E,protein,quality
7.4,0.7,0.56,0,1.9,0.076,11,34,0.9978,0.56,0.076,0.7,9.4,5
7.8,0.88,0.68,0,2.6,0.098,25,67,0.9968,0.68,0.098,0.88,9.8,5
7.8,0.76,0.65,0.04,2.3,0.092,15,54,0.997,0.65,0.092,0.76,9.8,5
11.2,0.28,0.58,0.56,1.9,0.075,17,60,0.998,0.58,0.075,0.28,9.8,6
7.4,0.7,0.56,0,1.9,0.076,11,34,0.9978,0.56,0.076,0.7,9.4,5
7.4,0.66,0.56,0,1.8,0.075,13,40,0.9978,0.56,0.075,0.66,9.4,5
7.9,0.6,0.46,0.06,1.6,0.069,15,59,0.9964,0.46,0.069,0.6,9.4,5
7.3,0.65,0.47,0,1.2,0.065,15,21,0.9946,0.47,0.065,0.65,10,7
7.8,0.58,0.57,0.02,2,0.073,9,18,0.9968,0.57,0.073,0.58,9.5,7
7.5,0.5,0.8,0.36,6.1,0.071,17,102,0.9978,0.8,0.071,0.5,10.5,5
6.7,0.58,0.54,0.08,1.8,0.097,15,65,0.9959,0.54,0.097,0.58,9.2,5
7.5,0.5,0.8,0.36,6.1,0.071,17,102,0.9978,0.8,0.071,0.5,10.5,5
5.6,0.615,0.52,0,1.6,0.089,16,59,0.9943,0.52,0.089,0.615,9.9,5
7.8,0.61,1.56,0.29,1.6,0.114,9,29,0.9974,1.56,0.114,0.61,9.1,5
8.9,0.62,0.88,0.18,3.8,0.176,52,145,0.9986,0.88,0.176,0.62,9.2,5
8.9,0.62,0.93,0.19,3.9,0.17,51,148,0.9986,0.93,0.17,0.62,9.2,5
8.5,0.28,0.75,0.56,1.8,0.092,35,103,0.9969,0.75,0.092,0.28,10.5,7
8.1,0.56,1.28,0.28,1.7,0.368,16,56,0.9968,1.28,0.368,0.56,9.3,5
7.4,0.59,0.5,0.08,4.4,0.086,6,29,0.9974,0.5,0.086,0.59,9,4
7.9,0.32,1.08,0.51,1.8,0.341,17,56,0.9969,1.08,0.341,0.32,9.2,6
8.9,0.22,0.53,0.48,1.8,0.077,29,60,0.9968,0.53,0.077,0.22,9.4,6
7.6,0.39,0.65,0.31,2.3,0.082,23,71,0.9982,0.65,0.082,0.39,9.7,5
7.9,0.43,0.91,0.21,1.6,0.106,10,37,0.9966,0.91,0.106,0.43,9.5,5
8.5,0.49,0.53,0.11,2.3,0.084,9,67,0.9968,0.53,0.084,0.49,9.4,5
6.9,0.4,0.63,0.14,2.4,0.085,21,40,0.9968,0.63,0.085,0.4,9.7,6
6.3,0.39,0.56,0.16,1.4,0.08,11,23,0.9955,0.56,0.08,0.39,9.3,5
7.6,0.41,0.59,0.24,1.8,0.08,4,11,0.9962,0.59,0.08,0.41,9.5,5
7.9,0.43,0.91,0.21,1.6,0.106,10,37,0.9966,0.91,0.106,0.43,9.5,5
7.1,0.71,0.55,0,1.9,0.08,14,35,0.9972,0.55,0.08,0.71,9.4,5
7.8,0.645,0.59,0,2,0.082,8,16,0.9964,0.59,0.082,0.645,9.8,6
6.7,0.675,0.54,0.07,2.4,0.089,17,82,0.9958,0.54,0.089,0.675,10.1,5
6.9,0.685,0.57,0,2.5,0.105,22,37,0.9966,0.57,0.105,0.685,10.6,6
8.3,0.655,0.66,0.12,2.3,0.083,15,113,0.9966,0.66,0.083,0.655,9.8,5
6.9,0.605,0.52,0.12,10.7,0.073,40,83,0.9993,0.52,0.073,0.605,9.4,6
5.2,0.32,0.55,0.25,1.8,0.103,13,50,0.9957,0.55,0.103,0.32,9.2,5
7.8,0.645,0.55,0,5.5,0.086,5,18,0.9986,0.55,0.086,0.645,9.6,6
7.8,0.6,0.6,0.14,2.4,0.086,3,15,0.9975,0.6,0.086,0.6,10.8,6
8.1,0.38,0.73,0.28,2.1,0.066,13,30,0.9968,0.73,0.066,0.38,9.7,7
5.7,1.13,0.48,0.09,1.5,0.172,7,19,0.994,0.48,0.172,1.13,9.8,4
7.3,0.45,0.83,0.36,5.9,0.074,12,87,0.9978,0.83,0.074,0.45,10.5,5
7.3,0.45,0.83,0.36,5.9,0.074,12,87,0.9978,0.83,0.074,0.45,10.5,5
8.8,0.61,0.51,0.3,2.8,0.088,17,46,0.9976,0.51,0.088,0.61,9.3,4
7.5,0.49,0.9,0.2,2.6,0.332,8,14,0.9968,0.9,0.332,0.49,10.5,6
8.1,0.66,1.2,0.22,2.2,0.069,9,23,0.9968,1.2,0.069,0.66,10.3,5
6.8,0.67,0.52,0.02,1.8,0.05,5,11,0.9962,0.52,0.05,0.67,9.5,5
4.6,0.52,0.56,0.15,2.1,0.054,8,65,0.9934,0.56,0.054,0.52,13.1,4
7.7,0.935,0.73,0.43,2.2,0.114,22,114,0.997,0.73,0.114,0.935,9.2,5
8.7,0.29,0.58,0.52,1.6,0.113,12,37,0.9969,0.58,0.113,0.29,9.5,5
6.4,0.4,0.56,0.23,1.6,0.066,5,12,0.9958,0.56,0.066,0.4,9.2,5
5.6,0.31,0.58,0.37,1.4,0.074,12,96,0.9954,0.58,0.074,0.31,9.2,5
8.8,0.66,0.74,0.26,1.7,0.074,4,23,0.9971,0.74,0.074,0.66,9.2,5
6.6,0.52,0.63,0.04,2.2,0.069,8,15,0.9956,0.63,0.069,0.52,9.4,6
6.6,0.5,0.64,0.04,2.1,0.068,6,14,0.9955,0.64,0.068,0.5,9.4,6
8.6,0.38,0.56,0.36,3,0.081,30,119,0.997,0.56,0.081,0.38,9.4,5
7.6,0.51,0.63,0.15,2.8,0.11,33,73,0.9955,0.63,0.11,0.51,10.2,6
7.7,0.62,0.53,0.04,3.8,0.084,25,45,0.9978,0.53,0.084,0.62,9.5,5
10.2,0.42,0.63,0.57,3.4,0.07,4,10,0.9971,0.63,0.07,0.42,9.6,5
7.5,0.63,0.77,0.12,5.1,0.111,50,110,0.9983,0.77,0.111,0.63,9.4,5
7.8,0.59,0.59,0.18,2.3,0.076,17,54,0.9975,0.59,0.076,0.59,10,5
7.3,0.39,0.54,0.31,2.4,0.074,9,46,0.9962,0.54,0.074,0.39,9.4,6
8.8,0.4,0.64,0.4,2.2,0.079,19,52,0.998,0.64,0.079,0.4,9.2,5
7.7,0.69,0.71,0.49,1.8,0.115,20,112,0.9968,0.71,0.115,0.69,9.3,5
7.5,0.52,0.62,0.16,1.9,0.085,12,35,0.9968,0.62,0.085,0.52,9.5,7
7,0.735,0.57,0.05,2,0.081,13,54,0.9966,0.57,0.081,0.735,9.8,5
7.2,0.725,0.39,0.05,4.65,0.086,4,11,0.9962,0.39,0.086,0.725,10.9,5
7.2,0.725,0.39,0.05,4.65,0.086,4,11,0.9962,0.39,0.086,0.725,10.9,5
7.5,0.52,0.58,0.11,1.5,0.079,11,39,0.9968,0.58,0.079,0.52,9.6,5
6.6,0.705,0.58,0.07,1.6,0.076,6,15,0.9962,0.58,0.076,0.705,10.7,5
9.3,0.32,0.79,0.57,2,0.074,27,65,0.9969,0.79,0.074,0.32,10.7,5
8,0.705,0.95,0.05,1.9,0.074,8,19,0.9962,0.95,0.074,0.705,10.5,6
7.7,0.63,0.54,0.08,1.9,0.076,15,27,0.9967,0.54,0.076,0.63,9.5,6
7.7,0.67,0.48,0.23,2.1,0.088,17,96,0.9962,0.48,0.088,0.67,9.5,5
7.7,0.69,0.48,0.22,1.9,0.084,18,94,0.9961,0.48,0.084,0.69,9.5,5
8.3,0.675,0.53,0.26,2.1,0.084,11,43,0.9976,0.53,0.084,0.675,9.2,4
9.7,0.32,0.82,0.54,2.5,0.094,28,83,0.9984,0.82,0.094,0.32,9.6,5
8.8,0.41,0.66,0.64,2.2,0.093,9,42,0.9986,0.66,0.093,0.41,10.5,5
8.8,0.41,0.66,0.64,2.2,0.093,9,42,0.9986,0.66,0.093,0.41,10.5,5
6.8,0.785,0.55,0,2.4,0.104,14,30,0.9966,0.55,0.104,0.785,10.7,6
6.7,0.75,0.52,0.12,2,0.086,12,80,0.9958,0.52,0.086,0.75,10.1,5
8.3,0.625,1.12,0.2,1.5,0.08,27,119,0.9972,1.12,0.08,0.625,9.1,4
6.2,0.45,0.56,0.2,1.6,0.069,3,15,0.9958,0.56,0.069,0.45,9.2,5
7.8,0.43,1.28,0.7,1.9,0.464,22,67,0.9974,1.28,0.464,0.43,9.4,5
7.4,0.5,0.57,0.47,2,0.086,21,73,0.997,0.57,0.086,0.5,9.1,5
7.3,0.67,1.14,0.26,1.8,0.401,16,51,0.9969,1.14,0.401,0.67,9.4,5
6.3,0.3,0.78,0.48,1.8,0.069,18,61,0.9959,0.78,0.069,0.3,10.3,6
6.9,0.55,0.59,0.15,2.2,0.076,19,40,0.9961,0.59,0.076,0.55,10.1,5
8.6,0.49,1.95,0.28,1.9,0.11,20,136,0.9972,1.95,0.11,0.49,9.9,6
7.7,0.49,0.64,0.26,1.9,0.062,9,31,0.9966,0.64,0.062,0.49,9.6,5
9.3,0.39,1.22,0.44,2.1,0.107,34,125,0.9978,1.22,0.107,0.39,9.5,5
7,0.62,0.53,0.08,1.8,0.076,8,24,0.9978,0.53,0.076,0.62,9,5
7.9,0.52,0.54,0.26,1.9,0.079,42,140,0.9964,0.54,0.079,0.52,9.5,5
8.6,0.49,1.95,0.28,1.9,0.11,20,136,0.9972,1.95,0.11,0.49,9.9,6
8.6,0.49,1.98,0.29,2,0.11,19,133,0.9972,1.98,0.11,0.49,9.8,5
7.7,0.49,0.64,0.26,1.9,0.062,9,31,0.9966,0.64,0.062,0.49,9.6,5
5,1.02,0.48,0.04,1.4,0.045,41,85,0.9938,0.48,0.045,1.02,10.5,4
4.7,0.6,0.6,0.17,2.3,0.058,17,106,0.9932,0.6,0.058,0.6,12.9,6
6.8,0.775,0.56,0,3,0.102,8,23,0.9965,0.56,0.102,0.775,10.7,5
7,0.5,0.63,0.25,2,0.07,3,22,0.9963,0.63,0.07,0.5,9.2,5
7.6,0.9,0.56,0.06,2.5,0.079,5,10,0.9967,0.56,0.079,0.9,9.8,5
8.1,0.545,0.59,0.18,1.9,0.08,13,35,0.9972,0.59,0.08,0.545,9,6
8.3,0.61,0.61,0.3,2.1,0.084,11,50,0.9972,0.61,0.084,0.61,10.2,6
7.8,0.5,0.56,0.3,1.9,0.075,8,22,0.9959,0.56,0.075,0.5,10.4,6
8.1,0.545,0.59,0.18,1.9,0.08,13,35,0.9972,0.59,0.08,0.545,9,6
8.1,0.575,0.51,0.22,2.1,0.077,12,65,0.9967,0.51,0.077,0.575,9.2,5
7.2,0.49,0.48,0.24,2.2,0.07,5,36,0.996,0.48,0.07,0.49,9.4,5
8.1,0.575,0.51,0.22,2.1,0.077,12,65,0.9967,0.51,0.077,0.575,9.2,5
7.8,0.41,1.31,0.68,1.7,0.467,18,69,0.9973,1.31,0.467,0.41,9.3,5
6.2,0.63,0.79,0.31,1.7,0.088,15,64,0.9969,0.79,0.088,0.63,9.3,5
8,0.33,0.8,0.53,2.5,0.091,18,80,0.9976,0.8,0.091,0.33,9.6,6
8.1,0.785,0.69,0.52,2,0.122,37,153,0.9969,0.69,0.122,0.785,9.3,5
7.8,0.56,0.93,0.19,1.8,0.104,12,47,0.9964,0.93,0.104,0.56,9.5,5
8.4,0.62,0.66,0.09,2.2,0.084,11,108,0.9964,0.66,0.084,0.62,9.8,5
8.4,0.6,0.66,0.1,2.2,0.085,14,111,0.9964,0.66,0.085,0.6,9.8,5
10.1,0.31,0.67,0.44,2.3,0.08,22,46,0.9988,0.67,0.08,0.31,9.7,6
7.8,0.56,0.93,0.19,1.8,0.104,12,47,0.9964,0.93,0.104,0.56,9.5,5
9.4,0.4,0.63,0.31,2.2,0.09,13,62,0.9966,0.63,0.09,0.4,10.5,6
8.3,0.54,0.61,0.28,1.9,0.077,11,40,0.9978,0.61,0.077,0.54,10,6
7.8,0.56,0.5,0.12,2,0.082,7,28,0.997,0.5,0.082,0.56,9.4,6
8.8,0.55,0.6,0.04,2.2,0.119,14,56,0.9962,0.6,0.119,0.55,10.9,6
7,0.69,0.54,0.08,1.8,0.097,22,89,0.9959,0.54,0.097,0.69,9.2,6
7.3,1.07,0.57,0.09,1.7,0.178,10,89,0.9962,0.57,0.178,1.07,9,5
8.8,0.55,0.6,0.04,2.2,0.119,14,56,0.9962,0.6,0.119,0.55,10.9,6
7.3,0.695,0.52,0,2.5,0.075,3,13,0.998,0.52,0.075,0.695,9.2,5
8,0.71,0.53,0,2.6,0.08,11,34,0.9976,0.53,0.08,0.71,9.5,5
7.8,0.5,0.48,0.17,1.6,0.082,21,102,0.996,0.48,0.082,0.5,9.5,5
9,0.62,0.7,0.04,1.9,0.146,27,90,0.9984,0.7,0.146,0.62,9.4,5
8.2,1.33,0.49,0,1.7,0.081,3,12,0.9964,0.49,0.081,1.33,10.9,5
8.1,1.33,0.48,0,1.8,0.082,3,12,0.9964,0.48,0.082,1.33,10.9,5
8,0.59,0.92,0.16,1.8,0.065,3,16,0.9962,0.92,0.065,0.59,10.5,7
6.1,0.38,0.57,0.15,1.8,0.072,6,19,0.9955,0.57,0.072,0.38,9.4,5
8,0.745,0.66,0.56,2,0.118,30,134,0.9968,0.66,0.118,0.745,9.4,5
5.6,0.5,0.63,0.09,2.3,0.049,17,99,0.9937,0.63,0.049,0.5,13,5
5.6,0.5,0.63,0.09,2.3,0.049,17,99,0.9937,0.63,0.049,0.5,13,5
6.6,0.5,0.58,0.01,1.5,0.06,17,26,0.9952,0.58,0.06,0.5,9.8,6
7.9,1.04,0.55,0.05,2.2,0.084,13,29,0.9959,0.55,0.084,1.04,9.9,6
8.4,0.745,0.82,0.11,1.9,0.09,16,63,0.9965,0.82,0.09,0.745,9.6,5
8.3,0.715,0.77,0.15,1.8,0.089,10,52,0.9968,0.77,0.089,0.715,9.5,5
7.2,0.415,0.64,0.36,2,0.081,13,45,0.9972,0.64,0.081,0.415,9.2,5
7.8,0.56,0.54,0.19,2.1,0.081,15,105,0.9962,0.54,0.081,0.56,9.5,5
7.8,0.56,0.54,0.19,2,0.081,17,108,0.9962,0.54,0.081,0.56,9.5,5
8.4,0.745,0.82,0.11,1.9,0.09,16,63,0.9965,0.82,0.09,0.745,9.6,5
8.3,0.715,0.77,0.15,1.8,0.089,10,52,0.9968,0.77,0.089,0.715,9.5,5
5.2,0.34,0.79,0,1.8,0.05,27,63,0.9916,0.79,0.05,0.34,14,6
6.3,0.39,0.58,0.08,1.7,0.066,3,20,0.9954,0.58,0.066,0.39,9.4,5
5.2,0.34,0.79,0,1.8,0.05,27,63,0.9916,0.79,0.05,0.34,14,6
8.1,0.67,0.62,0.55,1.8,0.117,32,141,0.9968,0.62,0.117,0.67,9.4,5
5.8,0.68,0.52,0.02,1.8,0.087,21,94,0.9944,0.52,0.087,0.68,10,5
7.6,0.49,0.8,0.26,1.6,0.236,10,88,0.9968,0.8,0.236,0.49,9.3,5
6.9,0.49,0.58,0.1,2.3,0.074,12,30,0.9959,0.58,0.074,0.49,10.2,6
